Month,Industries_luok,Information,value
2004M07,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2004M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2004M07,Other service activities,"Bankruptcies instigated, number of enterprises",34
2004M07,Industry unknown,"Bankruptcies instigated, number of enterprises",12
2004M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2004M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2004M08,Construction,"Bankruptcies instigated, number of enterprises",55
2004M08,Trade,"Bankruptcies instigated, number of enterprises",40
2004M08,Transport and storage,"Bankruptcies instigated, number of enterprises",13
2004M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",21
2004M08,Other service activities,"Bankruptcies instigated, number of enterprises",60
2004M08,Industry unknown,"Bankruptcies instigated, number of enterprises",16
2004M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2004M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",18
2004M09,Construction,"Bankruptcies instigated, number of enterprises",36
2004M09,Trade,"Bankruptcies instigated, number of enterprises",35
2004M09,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2004M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",11
2004M09,Other service activities,"Bankruptcies instigated, number of enterprises",52
2004M09,Industry unknown,"Bankruptcies instigated, number of enterprises",20
2004M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2004M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",20
2004M10,Construction,"Bankruptcies instigated, number of enterprises",39
2004M10,Trade,"Bankruptcies instigated, number of enterprises",42
2004M10,Transport and storage,"Bankruptcies instigated, number of enterprises",8
2004M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",13
2004M10,Other service activities,"Bankruptcies instigated, number of enterprises",51
2004M10,Industry unknown,"Bankruptcies instigated, number of enterprises",22
2004M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2004M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",24
2004M11,Construction,"Bankruptcies instigated, number of enterprises",46
2004M11,Trade,"Bankruptcies instigated, number of enterprises",43
2004M11,Transport and storage,"Bankruptcies instigated, number of enterprises",17
2004M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",24
2004M11,Other service activities,"Bankruptcies instigated, number of enterprises",51
2004M11,Industry unknown,"Bankruptcies instigated, number of enterprises",10
2004M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2004M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",20
2004M12,Construction,"Bankruptcies instigated, number of enterprises",32
2004M12,Trade,"Bankruptcies instigated, number of enterprises",27
2004M12,Transport and storage,"Bankruptcies instigated, number of enterprises",7
2004M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2004M12,Other service activities,"Bankruptcies instigated, number of enterprises",41
2004M12,Industry unknown,"Bankruptcies instigated, number of enterprises",13
2005M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2005M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",27
2005M01,Construction,"Bankruptcies instigated, number of enterprises",52
2005M01,Trade,"Bankruptcies instigated, number of enterprises",44
2005M01,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2005M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",13
2005M01,Other service activities,"Bankruptcies instigated, number of enterprises",50
2005M01,Industry unknown,"Bankruptcies instigated, number of enterprises",19
2005M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2005M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",24
2005M02,Construction,"Bankruptcies instigated, number of enterprises",36
2005M02,Trade,"Bankruptcies instigated, number of enterprises",51
2005M02,Transport and storage,"Bankruptcies instigated, number of enterprises",19
2005M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",16
2005M02,Other service activities,"Bankruptcies instigated, number of enterprises",51
2005M02,Industry unknown,"Bankruptcies instigated, number of enterprises",17
2005M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",0
2005M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",27
2005M03,Construction,"Bankruptcies instigated, number of enterprises",45
2005M03,Trade,"Bankruptcies instigated, number of enterprises",38
2005M03,Transport and storage,"Bankruptcies instigated, number of enterprises",11
2005M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",16
2005M03,Other service activities,"Bankruptcies instigated, number of enterprises",55
2005M03,Industry unknown,"Bankruptcies instigated, number of enterprises",8
2005M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2005M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",37
2005M04,Construction,"Bankruptcies instigated, number of enterprises",39
2005M04,Trade,"Bankruptcies instigated, number of enterprises",41
2005M04,Transport and storage,"Bankruptcies instigated, number of enterprises",20
2005M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2005M04,Other service activities,"Bankruptcies instigated, number of enterprises",39
2005M04,Industry unknown,"Bankruptcies instigated, number of enterprises",11
2005M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2005M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",21
2005M05,Construction,"Bankruptcies instigated, number of enterprises",36
2005M05,Trade,"Bankruptcies instigated, number of enterprises",43
2005M05,Transport and storage,"Bankruptcies instigated, number of enterprises",13
2005M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2005M05,Other service activities,"Bankruptcies instigated, number of enterprises",60
2005M05,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2005M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2005M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",24
2005M06,Construction,"Bankruptcies instigated, number of enterprises",32
2005M06,Trade,"Bankruptcies instigated, number of enterprises",36
2005M06,Transport and storage,"Bankruptcies instigated, number of enterprises",12
2005M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2005M06,Other service activities,"Bankruptcies instigated, number of enterprises",63
2005M06,Industry unknown,"Bankruptcies instigated, number of enterprises",8
2005M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2005M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",12
2005M07,Construction,"Bankruptcies instigated, number of enterprises",33
2005M07,Trade,"Bankruptcies instigated, number of enterprises",30
2005M07,Transport and storage,"Bankruptcies instigated, number of enterprises",16
2005M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",7
2005M07,Other service activities,"Bankruptcies instigated, number of enterprises",41
2005M07,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2005M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2005M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2005M08,Construction,"Bankruptcies instigated, number of enterprises",35
2005M08,Trade,"Bankruptcies instigated, number of enterprises",42
2005M08,Transport and storage,"Bankruptcies instigated, number of enterprises",17
2005M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",6
2005M08,Other service activities,"Bankruptcies instigated, number of enterprises",37
2005M08,Industry unknown,"Bankruptcies instigated, number of enterprises",8
2005M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2005M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",23
2005M09,Construction,"Bankruptcies instigated, number of enterprises",48
2005M09,Trade,"Bankruptcies instigated, number of enterprises",44
2005M09,Transport and storage,"Bankruptcies instigated, number of enterprises",17
2005M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",13
2005M09,Other service activities,"Bankruptcies instigated, number of enterprises",58
2005M09,Industry unknown,"Bankruptcies instigated, number of enterprises",5
2005M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2005M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2005M10,Construction,"Bankruptcies instigated, number of enterprises",35
2005M10,Trade,"Bankruptcies instigated, number of enterprises",33
2005M10,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2005M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2005M10,Other service activities,"Bankruptcies instigated, number of enterprises",36
2005M10,Industry unknown,"Bankruptcies instigated, number of enterprises",9
2005M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2005M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",35
2005M11,Construction,"Bankruptcies instigated, number of enterprises",42
2005M11,Trade,"Bankruptcies instigated, number of enterprises",47
2005M11,Transport and storage,"Bankruptcies instigated, number of enterprises",21
2005M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",11
2005M11,Other service activities,"Bankruptcies instigated, number of enterprises",48
2005M11,Industry unknown,"Bankruptcies instigated, number of enterprises",10
2005M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2005M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",13
2005M12,Construction,"Bankruptcies instigated, number of enterprises",17
2005M12,Trade,"Bankruptcies instigated, number of enterprises",28
2005M12,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2005M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2005M12,Other service activities,"Bankruptcies instigated, number of enterprises",24
2005M12,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2006M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2006M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",31
2006M01,Construction,"Bankruptcies instigated, number of enterprises",51
2006M01,Trade,"Bankruptcies instigated, number of enterprises",45
2006M01,Transport and storage,"Bankruptcies instigated, number of enterprises",17
2006M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",16
2006M01,Other service activities,"Bankruptcies instigated, number of enterprises",60
2006M01,Industry unknown,"Bankruptcies instigated, number of enterprises",5
2006M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2006M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2006M02,Construction,"Bankruptcies instigated, number of enterprises",47
2006M02,Trade,"Bankruptcies instigated, number of enterprises",37
2006M02,Transport and storage,"Bankruptcies instigated, number of enterprises",24
2006M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2006M02,Other service activities,"Bankruptcies instigated, number of enterprises",58
2006M02,Industry unknown,"Bankruptcies instigated, number of enterprises",5
2006M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2006M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",23
2006M03,Construction,"Bankruptcies instigated, number of enterprises",45
2006M03,Trade,"Bankruptcies instigated, number of enterprises",41
2006M03,Transport and storage,"Bankruptcies instigated, number of enterprises",21
2006M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2006M03,Other service activities,"Bankruptcies instigated, number of enterprises",64
2006M03,Industry unknown,"Bankruptcies instigated, number of enterprises",7
2006M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",0
2006M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",19
2006M04,Construction,"Bankruptcies instigated, number of enterprises",48
2006M04,Trade,"Bankruptcies instigated, number of enterprises",39
2006M04,Transport and storage,"Bankruptcies instigated, number of enterprises",16
2006M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",6
2006M04,Other service activities,"Bankruptcies instigated, number of enterprises",46
2006M04,Industry unknown,"Bankruptcies instigated, number of enterprises",6
2006M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2006M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2006M05,Construction,"Bankruptcies instigated, number of enterprises",43
2006M05,Trade,"Bankruptcies instigated, number of enterprises",44
2006M05,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2006M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2006M05,Other service activities,"Bankruptcies instigated, number of enterprises",51
2006M05,Industry unknown,"Bankruptcies instigated, number of enterprises",8
2006M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2006M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",16
2006M06,Construction,"Bankruptcies instigated, number of enterprises",43
2006M06,Trade,"Bankruptcies instigated, number of enterprises",36
2006M06,Transport and storage,"Bankruptcies instigated, number of enterprises",17
2006M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2006M06,Other service activities,"Bankruptcies instigated, number of enterprises",41
2006M06,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2006M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2006M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",16
2006M07,Construction,"Bankruptcies instigated, number of enterprises",32
2006M07,Trade,"Bankruptcies instigated, number of enterprises",25
2006M07,Transport and storage,"Bankruptcies instigated, number of enterprises",9
2006M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",8
2006M07,Other service activities,"Bankruptcies instigated, number of enterprises",36
2006M07,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2006M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2006M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2006M08,Construction,"Bankruptcies instigated, number of enterprises",40
2006M08,Trade,"Bankruptcies instigated, number of enterprises",40
2006M08,Transport and storage,"Bankruptcies instigated, number of enterprises",22
2006M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2006M08,Other service activities,"Bankruptcies instigated, number of enterprises",62
2006M08,Industry unknown,"Bankruptcies instigated, number of enterprises",5
2006M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2006M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",23
2006M09,Construction,"Bankruptcies instigated, number of enterprises",49
2006M09,Trade,"Bankruptcies instigated, number of enterprises",36
2006M09,Transport and storage,"Bankruptcies instigated, number of enterprises",22
2006M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2006M09,Other service activities,"Bankruptcies instigated, number of enterprises",50
2006M09,Industry unknown,"Bankruptcies instigated, number of enterprises",7
2006M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2006M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",22
2006M10,Construction,"Bankruptcies instigated, number of enterprises",43
2006M10,Trade,"Bankruptcies instigated, number of enterprises",41
2006M10,Transport and storage,"Bankruptcies instigated, number of enterprises",12
2006M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",10
2006M10,Other service activities,"Bankruptcies instigated, number of enterprises",49
2006M10,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2006M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2006M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2006M11,Construction,"Bankruptcies instigated, number of enterprises",51
2006M11,Trade,"Bankruptcies instigated, number of enterprises",35
2006M11,Transport and storage,"Bankruptcies instigated, number of enterprises",9
2006M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2006M11,Other service activities,"Bankruptcies instigated, number of enterprises",56
2006M11,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2006M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2006M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",20
2006M12,Construction,"Bankruptcies instigated, number of enterprises",21
2006M12,Trade,"Bankruptcies instigated, number of enterprises",26
2006M12,Transport and storage,"Bankruptcies instigated, number of enterprises",11
2006M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",9
2006M12,Other service activities,"Bankruptcies instigated, number of enterprises",37
2006M12,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2007M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2007M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",30
2007M01,Construction,"Bankruptcies instigated, number of enterprises",57
2007M01,Trade,"Bankruptcies instigated, number of enterprises",42
2007M01,Transport and storage,"Bankruptcies instigated, number of enterprises",16
2007M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2007M01,Other service activities,"Bankruptcies instigated, number of enterprises",60
2007M01,Industry unknown,"Bankruptcies instigated, number of enterprises",6
2007M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2007M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",18
2007M02,Construction,"Bankruptcies instigated, number of enterprises",49
2007M02,Trade,"Bankruptcies instigated, number of enterprises",33
2007M02,Transport and storage,"Bankruptcies instigated, number of enterprises",12
2007M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2007M02,Other service activities,"Bankruptcies instigated, number of enterprises",58
2007M02,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2007M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2007M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",16
2007M03,Construction,"Bankruptcies instigated, number of enterprises",71
